,Unnamed: 0,Company name,Date,Ticker,Industry,Country,Temperature Rise Limit,Industry Rating,Laggard,Average,Leader,comprehensiveness - % of company footprint covered by target
313,2663,Riyad Bank SJSC,2023-05-25,(1010),Industry: Banks,Country/Region: Saudi Arabia,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Riyad Bank SJSC is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Riyad Bank is Average among 198 companies in the banks industry.,"CORPORATE BEHAVIOR, FINANCING ENVIRONMENTAL IMPACT, ","CORPORATE GOVERNANCE, CONSUMER FINANCIAL PROTECTION, HUMAN CAPITAL DEVELOPMENT, ACCESS TO FINANCE, PRIVACY & DATA SECURITY, ","Riyad Bank is not a leader on any of the Key Issues that we evaluated for its industry., ",
314,2664,Saudi Electricity Company SJSC,2023-05-25,(5110),Industry: Utilities,Country/Region: Saudi Arabia,An Implied Temperature Rise of above 3.2°C indicates that Saudi Electricity Company SJSC is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,SEC is Average among 138 companies in the utilities industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, OPPORTUNITIES IN RENEWABLE ENERGY, ","CARBON EMISSIONS, WATER STRESS, TOXIC EMISSIONS & WASTE, ","HUMAN CAPITAL DEVELOPMENT, ",
315,2665,Savola Group Company SJSC,2023-05-25,(2050),Industry: Food Products,Country/Region: Saudi Arabia,An Implied Temperature Rise of between 2°C and 3.2°C indicates that Savola Group Company SJSC is misaligned with global climate goals and is in line with a business-as-usual scenario.,Savola is Average among 81 companies in the food products industry.,"OPPORTUNITIES IN NUTRITION & HEALTH, PRODUCT CARBON FOOTPRINT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, WATER STRESS, PACKAGING MATERIAL & WASTE, RAW MATERIAL SOURCING, ","PRODUCT SAFETY & QUALITY, LABOR MANAGEMENT, ",
316,2667,BinDawood Holding Company SJSC,2023-05-25,(4161),Industry: Retail - Food & Staples,Country/Region: Saudi Arabia,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that BinDawood Holding Company SJSC is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,BinDawood Holding is a laggard among 42 companies in the retail - food & staples industry.,"CORPORATE BEHAVIOR, PRIVACY & DATA SECURITY, PRODUCT SAFETY & QUALITY, PRODUCT CARBON FOOTPRINT, OPPORTUNITIES IN NUTRITION & HEALTH, ","CORPORATE GOVERNANCE, LABOR MANAGEMENT, RAW MATERIAL SOURCING, ","BinDawood Holding is not a leader on any of the Key Issues that we evaluated for its industry., ",
317,2668,Advanced Petrochemical Company SJSC,2023-05-25,(2330),Industry: Commodity Chemicals,Country/Region: Saudi Arabia,An Implied Temperature Rise of above 3.2°C indicates that Advanced Petrochemical Company SJSC is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Advanced is a laggard among 65 companies in the commodity chemicals industry.,"WATER STRESS, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, TOXIC EMISSIONS & WASTE, CHEMICAL SAFETY, ","CARBON EMISSIONS, ",38.53%
318,2809,SONIC HEALTHCARE LIMITED,2023-05-25,(SHL),Industry: Health Care Providers & Services,Country/Region: Australia,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that SONIC HEALTHCARE LIMITED is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Sonic is a leader among 56 companies in the health care providers & services industry.,"LABOR MANAGEMENT, ","PRODUCT SAFETY & QUALITY, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRIVACY & DATA SECURITY, ",
319,2810,Sonova Holding AG,2023-05-25,(SOON),Industry: Health Care Equipment & Supplies,Country/Region: Switzerland,An Implied Temperature Rise of between 2°C and 3.2°C indicates that Sonova Holding AG is misaligned with global climate goals and is in line with a business-as-usual scenario.,Sonova is a leader among 83 companies in the health care equipment & supplies industry.,"Sonova is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, HUMAN CAPITAL DEVELOPMENT, CARBON EMISSIONS, ","CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, HUMAN CAPITAL DEVELOPMENT, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, ",
320,2811,Sony Group Corporation,2023-05-25,(6758),Industry: Household Durables,Country/Region: Japan,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Sony Group Corporation is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Sony is a leader among 20 companies in the household durables industry.,"Sony is not a laggard on any of the Key Issues that we evaluated for its industry., LABOR MANAGEMENT, SUPPLY CHAIN LABOR STANDARDS, ","LABOR MANAGEMENT, SUPPLY CHAIN LABOR STANDARDS, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CHEMICAL SAFETY, CONTROVERSIAL SOURCING, ELECTRONIC WASTE, ",17.78%
321,2812,Songcheng Performance Development Co Ltd,2023-05-25,(300144),Industry: Hotels & Travel,Country/Region: China,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Songcheng Performance Development Co Ltd is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Songcheng Performance is a laggard among 25 companies in the hotels & travel industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, WATER STRESS, CARBON EMISSIONS, ","Songcheng Performance does not score in the average range on any of the Key Issues that we evaluated for its industry., LABOR MANAGEMENT, ","LABOR MANAGEMENT, ",
322,2833,ARKEMA SA,2023-05-25,(AKE),Industry: Specialty Chemicals,Country/Region: France,An Implied Temperature Rise of below 1.5°C indicates that ARKEMA SA is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,Arkema is Average among 70 companies in the specialty chemicals industry.,"Arkema is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CARBON EMISSIONS, CHEMICAL SAFETY, TOXIC EMISSIONS & WASTE, WATER STRESS, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CARBON EMISSIONS, CHEMICAL SAFETY, TOXIC EMISSIONS & WASTE, WATER STRESS, OPPORTUNITIES IN CLEAN TECH, ","Arkema is not a leader on any of the Key Issues that we evaluated for its industry., ",100.0%
323,2834,DAR AL ARKAN REAL ESTATE DEVELOPMENT COMPANY SJSC,2023-05-25,(4300),Industry: Real Estate Development & Diversified Activities,Country/Region: Saudi Arabia,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that DAR AL ARKAN REAL ESTATE DEVELOPMENT COMPANY SJSC is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Dar Al Arkan is a laggard among 55 companies in the real estate development & diversified activities industry.,"OPPORTUNITIES IN GREEN BUILDING, HEALTH & SAFETY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ","Dar Al Arkan is not a leader on any of the Key Issues that we evaluated for its industry., ",
324,2843,ULTRATECH CEMENT LIMITED,2023-05-25,(ULTRACEMCO),Industry: Construction Materials,Country/Region: India,An Implied Temperature Rise of above 3.2°C indicates that ULTRATECH CEMENT LIMITED is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,UltraTech is a laggard among 23 companies in the construction materials industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, TOXIC EMISSIONS & WASTE, ","CARBON EMISSIONS, HEALTH & SAFETY, LABOR MANAGEMENT, ","UltraTech is not a leader on any of the Key Issues that we evaluated for its industry., ",91.36%
325,2844,ULTRAPAR PARTICIPACOES S.A.,2023-05-25,(UGPA3),"Industry: Oil & Gas Refining, Marketing, Transportation & Storage",Country/Region: Brazil,An Implied Temperature Rise of above 3.2°C indicates that ULTRAPAR PARTICIPACOES S.A. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,"Ultrapar is a leader among 44 companies in the oil & gas refining, marketing, transportation & storage industry.","LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, CARBON EMISSIONS, ",0.82%
326,2845,"ULTA BEAUTY, INC.",2023-05-25,(ULTA),Industry: Retail - Consumer Discretionary,Country/Region: United States of America,"An Implied Temperature Rise of between 1.5 and 2.0°C indicates that ULTA BEAUTY, INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.",Ulta Beauty is Average among 70 companies in the retail - consumer discretionary industry.,"Ulta Beauty is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, LABOR MANAGEMENT, PRIVACY & DATA SECURITY, PRODUCT CARBON FOOTPRINT, ","CORPORATE GOVERNANCE, LABOR MANAGEMENT, PRIVACY & DATA SECURITY, PRODUCT CARBON FOOTPRINT, ","CORPORATE BEHAVIOR, ",
327,2846,Suzhou TA&A Ultra Clean Technology Co Ltd,2023-05-25,(300751),Industry: Electrical Equipment,Country/Region: China,An Implied Temperature Rise of above 3.2°C indicates that Suzhou Maxwell Technologies Co Ltd is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Suzhou Maxwell is a laggard among 56 companies in the electrical equipment industry.,"CORPORATE BEHAVIOR, OPPORTUNITIES IN CLEAN TECH, TOXIC EMISSIONS & WASTE, ","CORPORATE GOVERNANCE, LABOR MANAGEMENT, ","Suzhou Maxwell is not a leader on any of the Key Issues that we evaluated for its industry., ",
328,2915,THE ESTEE LAUDER COMPANIES INC.,2023-05-25,(EL),Industry: Household & Personal Products,Country/Region: United States of America,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that THE ESTEE LAUDER COMPANIES INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,ELC is Average among 30 companies in the household & personal products industry.,"CORPORATE GOVERNANCE, ","CORPORATE BEHAVIOR, CHEMICAL SAFETY, RAW MATERIAL SOURCING, ","PACKAGING MATERIAL & WASTE, PRODUCT CARBON FOOTPRINT, ",1.37%
329,2929,"MEDICAL PROPERTIES TRUST, INC.",2023-05-25,(MPW),Industry: Real Estate Management & Services,Country/Region: United States of America,"An Implied Temperature Rise of below 1.5°C indicates that MEDICAL PROPERTIES TRUST, INC. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",MPT is Average among 80 companies in the real estate management & services industry.,"OPPORTUNITIES IN GREEN BUILDING, HUMAN CAPITAL DEVELOPMENT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ","MPT is not a leader on any of the Key Issues that we evaluated for its industry., ",
330,2930,"THE PNC FINANCIAL SERVICES GROUP, INC.",2023-05-25,(PNC),Industry: Banks,Country/Region: United States of America,"An Implied Temperature Rise of between 1.5 and 2.0°C indicates that THE PNC FINANCIAL SERVICES GROUP, INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.",PNC is a leader among 197 companies in the banks industry.,"ACCESS TO FINANCE, PRIVACY & DATA SECURITY, ","CORPORATE GOVERNANCE, CONSUMER FINANCIAL PROTECTION, FINANCING ENVIRONMENTAL IMPACT, HUMAN CAPITAL DEVELOPMENT, ","CORPORATE BEHAVIOR, ",1.83%
331,2938,"Red Electrica Corporacion, S.A.",2023-05-25,(RED),Industry: Utilities,Country/Region: Spain,"An Implied Temperature Rise of below 1.5°C indicates that Red Electrica Corporacion, S.A. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",Red Electrica is a leader among 138 companies in the utilities industry.,"Red Electrica is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE BEHAVIOR, ","CORPORATE BEHAVIOR, ","CORPORATE GOVERNANCE, BIODIVERSITY & LAND USE, HUMAN CAPITAL DEVELOPMENT, TOXIC EMISSIONS & WASTE, OPPORTUNITIES IN RENEWABLE ENERGY, CARBON EMISSIONS, ",100.0%
332,2940,Rede D'Or Sao Luiz S.A.,2023-05-25,(RDOR3),Industry: Health Care Providers & Services,Country/Region: Brazil,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Rede D'Or Sao Luiz S.A. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Rede D'Or is Average among 56 companies in the health care providers & services industry.,"CORPORATE GOVERNANCE, LABOR MANAGEMENT, ","CORPORATE BEHAVIOR, PRIVACY & DATA SECURITY, CARBON EMISSIONS, ","PRODUCT SAFETY & QUALITY, ",
333,2950,Qatar Fuel Company QPSC,2023-05-25,(QFLS),"Industry: Oil & Gas Refining, Marketing, Transportation & Storage",Country/Region: Qatar,An Implied Temperature Rise of above 3.2°C indicates that Qatar Fuel Company QPSC is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,"WOQOD is Average among 44 companies in the oil & gas refining, marketing, transportation & storage industry.","CORPORATE GOVERNANCE, OPPORTUNITIES IN CLEAN TECH, ","CORPORATE BEHAVIOR, CARBON EMISSIONS, ","LABOR MANAGEMENT, ",
334,2951,Qatar Gas Transport Company Limited (Nakilat)QPSC,2023-05-25,(QGTS),"Industry: Oil & Gas Refining, Marketing, Transportation & Storage",Country/Region: Qatar,An Implied Temperature Rise of above 3.2°C indicates that Qatar Gas Transport Company Limited (Nakilat)QPSC is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,"Qatar Gas Transport Company Limited (Nakilat)QPSC is Average among 44 companies in the oil & gas refining, marketing, transportation & storage industry.","HEALTH & SAFETY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, BIODIVERSITY & LAND USE, CARBON EMISSIONS, TOXIC EMISSIONS & WASTE, ","Qatar Gas Transport Company Limited (Nakilat)QPSC is not a leader on any of the Key Issues that we evaluated for its industry., ",
335,2952,Randstad N.V.,2023-05-25,(RAND),Industry: Professional Services,Country/Region: Netherlands,An Implied Temperature Rise of below 1.5°C indicates that Randstad N.V. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,Randstad is a leader among 30 companies in the professional services industry.,"CORPORATE BEHAVIOR, ","HUMAN CAPITAL DEVELOPMENT, PRIVACY & DATA SECURITY, CARBON EMISSIONS, ","CORPORATE GOVERNANCE, ",100.0%
336,2953,INGERSOLL RAND INC.,2023-05-25,(IR),Industry: Industrial Machinery,Country/Region: United States of America,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that INGERSOLL RAND INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Ingersoll Rand is a leader among 46 companies in the industrial machinery industry.,"Ingersoll Rand is not a laggard on any of the Key Issues that we evaluated for its industry., LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, TOXIC EMISSIONS & WASTE, ","LABOR MANAGEMENT, OPPORTUNITIES IN CLEAN TECH, TOXIC EMISSIONS & WASTE, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ",
337,2956,"MONOLITHIC POWER SYSTEMS, INC.",2023-05-25,(MPWR),Industry: Semiconductors & Semiconductor Equipment,Country/Region: United States of America,"An Implied Temperature Rise of between 1.5 and 2.0°C indicates that MONOLITHIC POWER SYSTEMS, INC. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.",MPS is Average among 91 companies in the semiconductors & semiconductor equipment industry.,"MPS is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, OPPORTUNITIES IN CLEAN TECH, CONTROVERSIAL SOURCING, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, OPPORTUNITIES IN CLEAN TECH, CONTROVERSIAL SOURCING, ","MPS is not a leader on any of the Key Issues that we evaluated for its industry., ",
338,2961,"NH INVESTMENT & SECURITIES CO.,LTD",2023-05-25,(005940),Industry: Investment Banking & Brokerage,Country/Region: South Korea,"An Implied Temperature Rise of below 1.5°C indicates that NH INVESTMENT & SECURITIES CO.,LTD is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",NHIS is Average among 53 companies in the investment banking & brokerage industry.,"NHIS is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, HUMAN CAPITAL DEVELOPMENT, RESPONSIBLE INVESTMENT, FINANCING ENVIRONMENTAL IMPACT, ","CORPORATE GOVERNANCE, HUMAN CAPITAL DEVELOPMENT, RESPONSIBLE INVESTMENT, FINANCING ENVIRONMENTAL IMPACT, ","CORPORATE BEHAVIOR, PRIVACY & DATA SECURITY, ",100.0%
339,2962,ZHEJIANG NHU COMPANY LTD.,2023-05-25,(002001),Industry: Specialty Chemicals,Country/Region: China,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that ZHEJIANG NHU COMPANY LTD. is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Zhejiang NHU is a laggard among 70 companies in the specialty chemicals industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ","CARBON EMISSIONS, CHEMICAL SAFETY, TOXIC EMISSIONS & WASTE, WATER STRESS, OPPORTUNITIES IN CLEAN TECH, ","Zhejiang NHU is not a leader on any of the Key Issues that we evaluated for its industry., ",
340,2971,"EOG RESOURCES, INC.",2023-05-25,(EOG),Industry: Oil & Gas Exploration & Production,Country/Region: United States of America,"An Implied Temperature Rise of above 3.2°C indicates that EOG RESOURCES, INC. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.",EOG is Average among 22 companies in the oil & gas exploration & production industry.,"HEALTH & SAFETY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CARBON EMISSIONS, BIODIVERSITY & LAND USE, COMMUNITY RELATIONS, TOXIC EMISSIONS & WASTE, ","EOG is not a leader on any of the Key Issues that we evaluated for its industry., ",
341,2986,AXA SA,2023-05-25,(CS),Industry: Multi-Line Insurance & Brokerage,Country/Region: France,An Implied Temperature Rise of below 1.5°C indicates that AXA SA is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,AXA is a leader among 25 companies in the multi-line insurance & brokerage industry.,"CORPORATE BEHAVIOR, PRIVACY & DATA SECURITY, ","CORPORATE GOVERNANCE, CLIMATE CHANGE VULNERABILITY, RESPONSIBLE INVESTMENT, ","HUMAN CAPITAL DEVELOPMENT, ACCESS TO FINANCE, ",71.5%
342,2987,CSX Corporation,2023-05-25,(CSX),Industry: Road & Rail Transport,Country/Region: United States of America,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that CSX Corporation is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,CSX is Average among 29 companies in the road & rail transport industry.,"COMMUNITY RELATIONS, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CARBON EMISSIONS, HEALTH & SAFETY, LABOR MANAGEMENT, ","CSX is not a leader on any of the Key Issues that we evaluated for its industry., ",49.2%
343,2988,CSL LIMITED,2023-05-25,(CSL),Industry: Biotechnology,Country/Region: Australia,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that CSL LIMITED is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,CSL is Average among 40 companies in the biotechnology industry.,"PRODUCT SAFETY & QUALITY, ","CORPORATE BEHAVIOR, TOXIC EMISSIONS & WASTE, ","CORPORATE GOVERNANCE, HUMAN CAPITAL DEVELOPMENT, ACCESS TO HEALTH CARE, ",14.07%
344,2989,CSPC PHARMACEUTICAL GROUP LIMITED,2023-05-25,(1093),Industry: Pharmaceuticals,Country/Region: China,An Implied Temperature Rise of between 2°C and 3.2°C indicates that CSPC PHARMACEUTICAL GROUP LIMITED is misaligned with global climate goals and is in line with a business-as-usual scenario.,CSPC is Average among 77 companies in the pharmaceuticals industry.,"CSPC is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, ACCESS TO HEALTH CARE, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, ACCESS TO HEALTH CARE, ","PRODUCT SAFETY & QUALITY, TOXIC EMISSIONS & WASTE, ",
345,2990,China CSSC Holdings Limited,2023-05-25,(600150),Industry: Construction & Farm Machinery & Heavy Trucks,Country/Region: China,An Implied Temperature Rise of above 3.2°C indicates that China CSSC Holdings Limited is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,CSSC is a laggard among 34 companies in the construction & farm machinery & heavy trucks industry.,"CORPORATE BEHAVIOR, LABOR MANAGEMENT, HEALTH & SAFETY, OPPORTUNITIES IN CLEAN TECH, TOXIC EMISSIONS & WASTE, ","CORPORATE GOVERNANCE, ","CSSC is not a leader on any of the Key Issues that we evaluated for its industry., ",
346,3013,Banco de Credito e Inversiones,2023-05-25,(BCI),Industry: Banks,Country/Region: Chile,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Banco de Credito e Inversiones is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,BCI is Average among 197 companies in the banks industry.,"CORPORATE GOVERNANCE, FINANCING ENVIRONMENTAL IMPACT, ","CORPORATE BEHAVIOR, CONSUMER FINANCIAL PROTECTION, HUMAN CAPITAL DEVELOPMENT, ACCESS TO FINANCE, PRIVACY & DATA SECURITY, ","BCI is not a leader on any of the Key Issues that we evaluated for its industry., ",
347,3015,MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA PER AZIONI,2023-05-25,(MB),Industry: Banks,Country/Region: Italy,An Implied Temperature Rise of below 1.5°C indicates that MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA PER AZIONI is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.,Mediobanca is a leader among 198 companies in the banks industry.,"HUMAN CAPITAL DEVELOPMENT, ACCESS TO FINANCE, ","CONSUMER FINANCIAL PROTECTION, PRIVACY & DATA SECURITY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, FINANCING ENVIRONMENTAL IMPACT, ",100.0%
348,3021,"HUBSPOT, INC.",2023-05-25,(HUBS),Industry: Software & Services,Country/Region: United States of America,"An Implied Temperature Rise of below 1.5°C indicates that HUBSPOT, INC. is in line with the Paris agreement's maximal goal of keeping global mean temperature to 1.5°C.",HubSpot is a leader among 109 companies in the software & services industry.,"OPPORTUNITIES IN CLEAN TECH, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, HUMAN CAPITAL DEVELOPMENT, PRIVACY & DATA SECURITY, CARBON EMISSIONS, ","HubSpot is not a leader on any of the Key Issues that we evaluated for its industry., ",
349,3022,"HuBei XingFa Chemical Group Co., Ltd.",2023-05-25,(600141),Industry: Commodity Chemicals,Country/Region: China,"An Implied Temperature Rise of above 3.2°C indicates that HuBei XingFa Chemical Group Co., Ltd. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.",HuBei XingFa is a laggard among 65 companies in the commodity chemicals industry.,"CARBON EMISSIONS, WATER STRESS, CHEMICAL SAFETY, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, TOXIC EMISSIONS & WASTE, HEALTH & SAFETY, OPPORTUNITIES IN CLEAN TECH, ","HuBei XingFa is not a leader on any of the Key Issues that we evaluated for its industry., ",
350,3041,GENTING BERHAD,2023-05-25,(GENTING),Industry: Casinos & Gaming,Country/Region: Malaysia,An Implied Temperature Rise of between 2°C and 3.2°C indicates that GENTING BERHAD is misaligned with global climate goals and is in line with a business-as-usual scenario.,Genting Berhad is Average among 17 companies in the casinos & gaming industry.,"CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, CARBON EMISSIONS, ","LABOR MANAGEMENT, WATER STRESS, PRODUCT SAFETY & QUALITY, ","Genting Berhad is not a leader on any of the Key Issues that we evaluated for its industry., ",
351,3042,GENERAC HOLDINGS INC.,2023-05-25,(GNRC),Industry: Electrical Equipment,Country/Region: United States of America,An Implied Temperature Rise of above 3.2°C indicates that GENERAC HOLDINGS INC. is strongly misaligned with global climate goals. Its contribution to catastrophic climate change is higher than most.,Generac is Average among 55 companies in the electrical equipment industry.,"Generac is not a laggard on any of the Key Issues that we evaluated for its industry., CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, OPPORTUNITIES IN CLEAN TECH, TOXIC EMISSIONS & WASTE, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, OPPORTUNITIES IN CLEAN TECH, TOXIC EMISSIONS & WASTE, ","LABOR MANAGEMENT, ",
352,3043,GENMAB A/S,2023-05-25,(GMAB),Industry: Biotechnology,Country/Region: Denmark,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that GENMAB A/S is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Genmab is a leader among 40 companies in the biotechnology industry.,"ACCESS TO HEALTH CARE, ","HUMAN CAPITAL DEVELOPMENT, PRODUCT SAFETY & QUALITY, TOXIC EMISSIONS & WASTE, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, ",
353,3044,Genscript Biotech Corp,2023-05-25,(1548),Industry: Health Care Equipment & Supplies,Country/Region: China,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that Genscript Biotech Corp is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Genscript Biotech is Average among 83 companies in the health care equipment & supplies industry.,"CORPORATE GOVERNANCE, HUMAN CAPITAL DEVELOPMENT, CARBON EMISSIONS, ","CORPORATE BEHAVIOR, ","PRODUCT SAFETY & QUALITY, ",
354,3045,SOCIETE GENERALE SA,2023-05-25,(GLE),Industry: Banks,Country/Region: France,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that SOCIETE GENERALE SA is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,SocGen is a leader among 197 companies in the banks industry.,"CORPORATE BEHAVIOR, ","HUMAN CAPITAL DEVELOPMENT, ACCESS TO FINANCE, PRIVACY & DATA SECURITY, ","CORPORATE GOVERNANCE, CONSUMER FINANCIAL PROTECTION, FINANCING ENVIRONMENTAL IMPACT, ",16.64%
355,3046,GENUINE PARTS COMPANY,2023-05-25,(GPC),Industry: Retail - Consumer Discretionary,Country/Region: United States of America,An Implied Temperature Rise of between 2°C and 3.2°C indicates that GENUINE PARTS COMPANY is misaligned with global climate goals and is in line with a business-as-usual scenario.,Genuine Parts is Average among 70 companies in the retail - consumer discretionary industry.,"PRODUCT CARBON FOOTPRINT, ","CORPORATE GOVERNANCE, CORPORATE BEHAVIOR, LABOR MANAGEMENT, PRIVACY & DATA SECURITY, ","Genuine Parts is not a leader on any of the Key Issues that we evaluated for its industry., ",
356,3047,GENTING MALAYSIA BERHAD,2023-05-25,(GENM),Industry: Casinos & Gaming,Country/Region: Malaysia,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that GENTING MALAYSIA BERHAD is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Genting Malaysia is Average among 17 companies in the casinos & gaming industry.,"CORPORATE GOVERNANCE, LABOR MANAGEMENT, ","CORPORATE BEHAVIOR, PRODUCT SAFETY & QUALITY, CARBON EMISSIONS, ","WATER STRESS, ",
357,3048,GENTING SINGAPORE LIMITED,2023-05-25,(G13),Industry: Casinos & Gaming,Country/Region: Singapore,An Implied Temperature Rise of between 1.5 and 2.0°C indicates that GENTING SINGAPORE LIMITED is in line with the Paris agreement's minimal goal of limiting global mean temperature to below 2°C.,Genting Singapore is Average among 17 companies in the casinos & gaming industry.,"CORPORATE GOVERNANCE, WATER STRESS, CARBON EMISSIONS, ","CORPORATE BEHAVIOR, LABOR MANAGEMENT, ","PRODUCT SAFETY & QUALITY, ",
